PRODUCT,DESC,UPC,QTY ON HAND,QTY HELD,TOTAL QUANTITY AVAILABLE
B046-3,Manhattan Stripe Bath Rug Set DK BLUE-WHITE ,' 8902552051986,76,0,76
B047-1,Manhattan Stripe Bath Rug Turquoise-White,' 8902552051993,0,0,0
B047-2,Manhattan Stripe Runner GREY-WHITE,' 8902552052006,0,0,0
B047-3,Manhattan Stripe Runner DK BLUE-WHITE ,' 8902552052013,0,0,0
B048-2,Micro Shag - Black,' 8902552052037,0,0,0
B049-2,Micro Shag Black,' 8902552052051,45,0,45
B050-2,Micro Shag Black,' 8902552052075,5,0,5
B051-1,Bali Spa Rug Blue,' 8902552052174,13,0,13
B051-2,Bali Spa Rug Grey,' 8902552052181,20,0,20
B051-3,Bali Spa Rug - Lt. Green,' 8902552052198,69,0,69
B052-1,Thai Spa Rug Lt. Blue,' 8902552052204,88,0,88
B052-2,Thai Spa Rug Ivory,' 8902552052211,136,0,136
B052-3,Thai Spa Rug White,' 8902552052228,106,0,106
B053-1,Rainbow Blue Shag White-Blue,' 8902552052235,1,0,1
B054-1,Maui Bathroom Rug,' 677355168336,144,0,144
B055-1,Maui Bathroom Runner Rug,' 677355186811,100,0,100
CU001-1,MULTI CHINDI CUSHION COVER - Multi,' 8902552051474,27,0,27
CU002-1,DENIM JUTE CUSHION COVER - Blues,' 8902552051245,0,0,0
CU003-1,DIAMON CUSHION COVER Black-White,' 8902552051252,4,0,4
CU006-1,Miami Pillow Case,' 677355115552,65,0,65
CU007-1,Cleopatra Pillow Case,' 677355110236,82,0,82
MBC001,Ivory jute Bag,' 677355107847,10,0,10
MBC002,Jute summer light work,' 677355186965,8,0,8
MBC003,Jute colored,' 677355166530,10,0,10
MBC004,Jute Turquoise,' 677355190894,10,0,10
MBC005-1,Ivory banjara fabric,' 677355123199,0,0,0
MBC005-2,Ivory banjara fabric,' 677355164260,0,0,0
MBC006-1,Jute small clutch,' 677355121027,20,0,20
MBC006-2,jute small clutch,' 677355132146,20,0,20
MBC007,Passport clutch,' 677355196902,100,0,100
MBC008,Grey Lurex Clutc,' 677355156326,0,0,0
PM001,Jute Placemats (Set of 4) in size - Natural,' 8902552050101,0,0,0
PM002,Denim Jute Placemat (Set of 4) - Blue,' 8902552050170,172,24,148
PM003,Rainbow Multi Chindi Placemat (Set of 4),' 8902552050200,577,0,577
PM004,JUTE ROUND PLACEMAT,' 8902552051269,0,0,0
PM005,CHECK MATS White/Black,' 8902552051276,0,0,0
PM006,Ombre Placemat Nat-Black,' 8902552051337,121,0,121
PM006-1,Ombre Placemat - Nat-Turquoise,' 8902552051344,247,0,247
PM007,Ombre Placemat - Natural-Ivory Dyed,' 8902552051757,25,0,25
PM013-1,Leather Placemats Set of 4 Brown,' 8902552052099,0,0,0
PM013-2,Leather Placemats Set of 4 - Grey,' 8902552052105,12,0,12
PM014-1,Carmel Placemat Set of 4,' 677355185593,14,0,14
PM015-1,Laguna Placemat Set of 4,' 677355172968,14,0,14
PM016-1,Jute Oval Placemat Set of 4,' 677355191112,10,0,10
PM017-1,Coastal Placemat Set of 4,' 677355173033,0,0,0
R002-1,Diamond Rug - Black,' 8902552045992,10,0,10
R002-10,Diamond Rug Big Gray-white,' 8902552050057,1,0,1
